Date,Close,Volume
2000-01-03,36.875,5298400
2000-01-04,35.9375,4555700
2000-01-05,35.0625,5701900
2000-01-06,36.625,6863100
2000-01-07,37.625,10527800
2000-01-10,36.875,6402500
2000-01-11,36.75,5607800
2000-01-12,36.3125,4267300
2000-01-13,35.9375,3144200
2000-01-14,36.1875,5413700
2000-01-18,36.25,4821600
2000-01-19,36.4375,3999700
2000-01-20,36.125,3106100
2000-01-21,36.125,4454400
2000-01-24,35.3125,3785000
2000-01-25,34.3125,4356500
2000-01-26,33.9375,3174100
2000-01-27,33.8125,2610100
2000-01-28,33.25,4090800
2000-01-31,34.125,2989600
2000-02-01,34.0,3602600
2000-02-02,33.0,3289100
2000-02-03,33.0625,3662900
2000-02-04,32.75,3885600
2000-02-07,32.375,3999700
2000-02-08,33.3125,5010500
2000-02-09,34.0,8432500
2000-02-10,34.625,5909500
2000-02-11,34.375,5530400
2000-02-14,34.0625,3493300
2000-02-15,34.1875,3909600
2000-02-16,34.0,4606800
2000-02-17,34.3125,2847700
2000-02-18,34.25,3664500
2000-02-22,34.6875,2929400
2000-02-23,34.1875,3249300
2000-02-24,34.0,3612800
2000-02-25,32.75,4205500
2000-02-28,33.25,3654700
2000-02-29,32.125,4635500
2000-03-01,32.5625,5496400
2000-03-02,31.5625,5170400
2000-03-03,31.625,4626600
2000-03-06,31.0,4457900
2000-03-07,30.625,7053200
2000-03-08,30.5,5159800
2000-03-09,31.375,3913200
2000-03-10,30.75,3649100
2000-03-13,31.125,4308000
2000-03-14,30.6875,4602900
2000-03-15,33.1875,5463800
2000-03-16,34.0625,5410300
2000-03-17,33.0,4464500
2000-03-20,33.25,2643800
2000-03-21,34.3125,5479700
2000-03-22,33.5,3431700
2000-03-23,33.5,3792400
2000-03-24,32.9375,3345700
2000-03-27,32.359375,3397100
2000-03-28,32.5,4814300
2000-03-29,33.25,4254400
2000-03-30,35.9375,6850900
2000-03-31,34.875,4957600
2000-04-03,36.125,4337100
2000-04-04,36.4375,5803400
2000-04-05,36.75,4780500
2000-04-06,36.8125,4050000
2000-04-07,36.0,3829600
2000-04-10,36.25,2549500
2000-04-11,37.0625,2408600
2000-04-12,37.25,4071700
2000-04-13,36.4375,2835500
2000-04-14,36.4375,3407300
2000-04-17,36.625,3648700
2000-04-18,35.9375,2980300
2000-04-19,35.3125,2949900
2000-04-20,37.1875,4931800
2000-04-24,37.875,4457300
2000-04-25,37.4375,3344800
2000-04-26,37.75,3345300
2000-04-27,37.4375,2825500
2000-04-28,36.6875,2279900
2000-05-01,37.0,2130100
2000-05-02,37.5,3228300
2000-05-03,37.5625,3802100
2000-05-04,36.6875,2320400
2000-05-05,37.5,2252700
2000-05-08,37.9375,3246100
2000-05-09,37.6875,4305000
2000-05-10,39.1875,8784400
2000-05-11,40.0,5743100
2000-05-12,39.5,3598200
2000-05-15,39.375,3519200
2000-05-16,39.125,3736300
2000-05-17,39.0,2963400
2000-05-18,39.515625,2544800
